Year,Harvested_Area_sqft,Harvested_Area_acres,Production_lbs,Production_tonnes,Value_dollars,Price_cents_lb,Price_dollars_tonne
2024.0,39901.0,916.0,169742.0,76994.0,468783.0,276.2,6088.6
2023.0,39868.0,915.0,163020.0,73945.0,450528.0,276.4,6092.8
2022.0,39257.0,901.0,157144.0,71279.0,439267.0,279.5,6162.6
2021.0,36039.0,827.0,156780.0,71114.0,417415.0,266.2,5869.6
2020.0,33430.0,767.0,147240.0,66787.0,369977.0,251.3,5539.7
2019.0,34033.0,781.0,147020.0,66687.0,339329.0,230.8,5088.4
2018.0,31965.0,734.0,152550.0,69196.0,338350.0,221.8,4889.8
2017.0,29199.0,670.0,139118.0,63103.0,311346.0,223.8,4933.9
2016.0,28907.0,664.0,134664.0,61083.0,287959.0,213.8,4714.3
2015.0,27613.0,634.0,128662.0,58360.0,257466.0,200.1,4411.7
2014.0,32789.0,753.0,142078.0,64446.0,267284.0,188.1,4147.4
2013.0,33865.0,777.0,149312.0,67727.0,278069.0,186.2,4105.7
2012.0,32294.0,741.0,152600.0,69218.0,268625.0,176.0,3880.8
2011.0,28039.0,644.0,143996.0,65316.0,234385.0,162.8,3588.5
2010.0,28123.0,646.0,131912.0,59834.0,235375.0,178.4,3933.8
2009.0,26408.0,606.0,135682.0,61544.0,236754.0,174.5,3846.9
2008.0,32214.0,740.0,149882.0,67985.0,250412.0,167.1,3683.3
2007.0,22627.0,519.0,106162.0,48154.0,176080.0,165.9,3656.6
2006.0,22770.0,523.0,121662.0,55185.0,176863.0,145.4,3204.9
2005.0,23121.0,531.0,97164.0,44073.0,153634.0,158.1,3485.9
2004.0,23736.0,545.0,106334.0,48232.0,161600.0,152.0,3350.4
2003.0,22176.0,509.0,108340.0,49142.0,165035.0,152.3,3358.3
2002.0,21536.0,494.0,100420.0,45550.0,153586.0,152.9,3371.8
2001.0,18149.0,417.0,94560.0,42892.0,143040.0,151.3,3334.9
2000.0,18268.0,419.0,95982.0,43537.0,140893.0,146.8,3236.2
1999.0,16157.0,371.0,73252.0,33227.0,110050.0,150.2,3312.1
1998.0,16910.0,388.0,83180.0,37730.0,116959.0,140.6,3099.9
1997.0,16795.0,386.0,80348.0,36445.0,111060.0,138.2,3047.3
1996.0,16588.0,381.0,75480.0,34237.0,104320.0,138.2,3047.0
1995.0,15998.0,367.0,77018.0,34935.0,108925.0,141.4,3117.9
1994.0,15398.0,353.0,72822.0,33032.0,97847.0,134.4,2962.2
1993.0,15562.0,357.0,70706.0,32072.0,85170.0,120.5,2655.6
1992.0,14058.0,323.0,64402.0,29212.0,76885.0,119.4,2631.9
1991.0,14876.0,342.0,61150.0,27737.0,74410.0,121.7,2682.7
1990.0,14038.0,322.0,60292.0,27348.0,76021.0,126.1,2779.8
1989.0,15713.0,361.0,63274.0,28701.0,85377.0,134.9,2974.7
1988.0,16145.0,371.0,61506.0,27899.0,80033.0,130.1,2868.7
1987.0,15813.0,363.0,55262.0,25066.0,70825.0,128.2,2825.5
1986.0,15286.0,351.0,59484.0,26982.0,69866.0,117.5,2589.4
1985.0,14851.0,341.0,50842.0,23062.0,60910.0,119.8,2641.2
1984.0,12757.0,293.0,46174.0,20944.0,55440.0,120.1,2647.0
1983.0,12254.0,281.0,40438.0,18342.0,47884.0,118.4,2610.6
