Year,Harvested Area                               ('000 sq ft),Harvested Area                               (acres),          Production         ('000 lbs),          Production         (tonnes),Value              ($ '000),Average Price (cents/lb),Average Price ($/tonne)
2024,"39,901",916,"169,742","76,994","468,783",276.2,"6,088.6"
2023,"39,868",915,"163,020","73,945","450,528",276.4,"6,092.8"
2022,"39,257",901,"157,144","71,279","439,267",279.5,"6,162.6"
2021,"36,039",827,"156,780","71,114","417,415",266.2,"5,869.6"
2020,"33,430",767,"147,240","66,787","369,977",251.3,"5,539.7"
2019,"34,033",781,"147,020","66,687","339,329",230.8,"5,088.4"
2018,"31,965",734,"152,550","69,196","338,350",221.8,"4,889.8"
2017,"29,199",670,"139,118","63,103","311,346",223.8,"4,933.9"
2016,"28,907",664,"134,664","61,083","287,959",213.8,"4,714.3"
2015,"27,613",634,"128,662","58,360","257,466",200.1,"4,411.7"
2014,"32,789",753,"142,078","64,446","267,284",188.1,"4,147.4"
2013,"33,865",777,"149,312","67,727","278,069",186.2,"4,105.7"
2012,"32,294",741,"152,600","69,218","268,625",176.0,"3,880.8"
2011,"28,039",644,"143,996","65,316","234,385",162.8,"3,588.5"
2010,"28,123",646,"131,912","59,834","235,375",178.4,"3,933.8"
2009,"26,408",606,"135,682","61,544","236,754",174.5,"3,846.9"
2008,"32,214",740,"149,882","67,985","250,412",167.1,"3,683.3"
2007,"22,627",519,"106,162","48,154","176,080",165.9,"3,656.6"
2006,"22,770",523,"121,662","55,185","176,863",145.4,"3,204.9"
2005,"23,121",531,"97,164","44,073","153,634",158.1,"3,485.9"
2004,"23,736",545,"106,334","48,232","161,600",152.0,"3,350.4"
2003,"22,176",509,"108,340","49,142","165,035",152.3,"3,358.3"
2002,"21,536",494,"100,420","45,550","153,586",152.9,"3,371.8"
2001,"18,149",417,"94,560","42,892","143,040",151.3,"3,334.9"
2000,"18,268",419,"95,982","43,537","140,893",146.8,"3,236.2"
1999,"16,157",371,"73,252","33,227","110,050",150.2,"3,312.1"
1998,"16,910",388,"83,180","37,730","116,959",140.6,"3,099.9"
1997,"16,795",386,"80,348","36,445","111,060",138.2,"3,047.3"
1996,"16,588",381,"75,480","34,237","104,320",138.2,"3,047.0"
1995,"15,998",367,"77,018","34,935","108,925",141.4,"3,117.9"
1994,"15,398",353,"72,822","33,032","97,847",134.4,"2,962.2"
1993,"15,562",357,"70,706","32,072","85,170",120.5,"2,655.6"
1992,"14,058",323,"64,402","29,212","76,885",119.4,"2,631.9"
1991,"14,876",342,"61,150","27,737","74,410",121.7,"2,682.7"
1990,"14,038",322,"60,292","27,348","76,021",126.1,"2,779.8"
1989,"15,713",361,"63,274","28,701","85,377",134.9,"2,974.7"
1988,"16,145",371,"61,506","27,899","80,033",130.1,"2,868.7"
1987,"15,813",363,"55,262","25,066","70,825",128.2,"2,825.5"
1986,"15,286",351,"59,484","26,982","69,866",117.5,"2,589.4"
1985,"14,851",341,"50,842","23,062","60,910",119.8,"2,641.2"
1984,"12,757",293,"46,174","20,944","55,440",120.1,"2,647.0"
1983,"12,254",281,"40,438","18,342","47,884",118.4,"2,610.6"
